,"('I', 'I')","('I', 'D')","('I', 'O')","('I', 'L')","('I', 'J')","('I', 'B')","('I', 'K')","('I', 'N')","('I', 'A')","('I', 'E')","('I', 'C')","('I', 'M')","('I', 'G')","('I', 'F')","('I', 'H')","('D', 'I')","('D', 'D')","('D', 'O')","('D', 'L')","('D', 'J')","('D', 'B')","('D', 'K')","('D', 'N')","('D', 'A')","('D', 'E')","('D', 'C')","('D', 'M')","('D', 'G')","('D', 'F')","('D', 'H')","('O', 'I')","('O', 'D')","('O', 'O')","('O', 'L')","('O', 'J')","('O', 'B')","('O', 'K')","('O', 'N')","('O', 'A')","('O', 'E')","('O', 'C')","('O', 'M')","('O', 'G')","('O', 'F')","('O', 'H')","('L', 'I')","('L', 'D')","('L', 'O')","('L', 'L')","('L', 'J')","('L', 'B')","('L', 'K')","('L', 'N')","('L', 'A')","('L', 'E')","('L', 'C')","('L', 'M')","('L', 'G')","('L', 'F')","('L', 'H')","('J', 'I')","('J', 'D')","('J', 'O')","('J', 'L')","('J', 'J')","('J', 'B')","('J', 'K')","('J', 'N')","('J', 'A')","('J', 'E')","('J', 'C')","('J', 'M')","('J', 'G')","('J', 'F')","('J', 'H')","('B', 'I')","('B', 'D')","('B', 'O')","('B', 'L')","('B', 'J')","('B', 'B')","('B', 'K')","('B', 'N')","('B', 'A')","('B', 'E')","('B', 'C')","('B', 'M')","('B', 'G')","('B', 'F')","('B', 'H')","('K', 'I')","('K', 'D')","('K', 'O')","('K', 'L')","('K', 'J')","('K', 'B')","('K', 'K')","('K', 'N')","('K', 'A')","('K', 'E')","('K', 'C')","('K', 'M')","('K', 'G')","('K', 'F')","('K', 'H')","('N', 'I')","('N', 'D')","('N', 'O')","('N', 'L')","('N', 'J')","('N', 'B')","('N', 'K')","('N', 'N')","('N', 'A')","('N', 'E')","('N', 'C')","('N', 'M')","('N', 'G')","('N', 'F')","('N', 'H')","('A', 'I')","('A', 'D')","('A', 'O')","('A', 'L')","('A', 'J')","('A', 'B')","('A', 'K')","('A', 'N')","('A', 'A')","('A', 'E')","('A', 'C')","('A', 'M')","('A', 'G')","('A', 'F')","('A', 'H')","('E', 'I')","('E', 'D')","('E', 'O')","('E', 'L')","('E', 'J')","('E', 'B')","('E', 'K')","('E', 'N')","('E', 'A')","('E', 'E')","('E', 'C')","('E', 'M')","('E', 'G')","('E', 'F')","('E', 'H')","('C', 'I')","('C', 'D')","('C', 'O')","('C', 'L')","('C', 'J')","('C', 'B')","('C', 'K')","('C', 'N')","('C', 'A')","('C', 'E')","('C', 'C')","('C', 'M')","('C', 'G')","('C', 'F')","('C', 'H')","('M', 'I')","('M', 'D')","('M', 'O')","('M', 'L')","('M', 'J')","('M', 'B')","('M', 'K')","('M', 'N')","('M', 'A')","('M', 'E')","('M', 'C')","('M', 'M')","('M', 'G')","('M', 'F')","('M', 'H')","('G', 'I')","('G', 'D')","('G', 'O')","('G', 'L')","('G', 'J')","('G', 'B')","('G', 'K')","('G', 'N')","('G', 'A')","('G', 'E')","('G', 'C')","('G', 'M')","('G', 'G')","('G', 'F')","('G', 'H')","('F', 'I')","('F', 'D')","('F', 'O')","('F', 'L')","('F', 'J')","('F', 'B')","('F', 'K')","('F', 'N')","('F', 'A')","('F', 'E')","('F', 'C')","('F', 'M')","('F', 'G')","('F', 'F')","('F', 'H')","('H', 'I')","('H', 'D')","('H', 'O')","('H', 'L')","('H', 'J')","('H', 'B')","('H', 'K')","('H', 'N')","('H', 'A')","('H', 'E')","('H', 'C')","('H', 'M')","('H', 'G')","('H', 'F')","('H', 'H')"
76,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
77,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
78,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
79,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
80,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
81,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
82,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,,,,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,,,,,,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,,,,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
83,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
84,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
85,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
86,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
87,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
88,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
89,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
90,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,8.632909470754445,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,8.632909470754445,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
91,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,8.632909470754445,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,8.632909470754445,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
92,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,8.632909470754445,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,8.632909470754445,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
93,,9.580020105187597,,,,,,6.458998198865708,,,4.96921177879121,,,,10.237173147047809,9.580020105187597,,,6.265378882082749,,8.63260406987797,,,,,,7.024386306169014,,,8.632909470754445,,,,,,,,7.134220586183886,,,9.272948151106249,,,,,,6.265378882082749,,,,9.447420204338432,,11.156318526116912,,,,,,8.056943309131281,10.329896434779279,,,,,,,,,,9.313011623133434,4.153453711720496,,9.63147698754336,4.39016893654157,5.971095589122942,,8.63260406987797,,9.447420204338432,,,4.053949198627297,11.777919007789142,,,5.01296700654409,,,,,,,,,,4.053949198627297,,,,6.111654331153608,,,,,10.925358268576911,6.458998198865708,,7.134220586183886,11.156318526116912,,11.777919007789142,,,,5.478070154289215,,,,7.74834344592649,,,,,,,,,,,,,,,,,,,,,9.313011623133434,,6.111654331153608,5.478070154289215,,,,,8.364480681578453,9.692367780840497,4.224008149292806,4.96921177879121,,9.272948151106249,,4.153453711720496,5.01296700654409,,,,,,11.128490477670148,,,,,7.024386306169014,,,,,,,,,11.128490477670148,,,10.264227896467698,,,,,,9.63147698754336,,,,,8.364480681578453,,,,,4.306135258436866,,,,8.056943309131281,4.39016893654157,,,7.74834344592649,,9.692367780840497,,10.264227896467698,,,5.258298615606596,10.237173147047809,8.632909470754445,,10.329896434779279,5.971095589122942,,10.925358268576911,,,4.224008149292806,,,4.306135258436866,5.258298615606596,
